구분,교육지원청,학원및교습소명,주소,설립자-성명,전화번호,교습과정,교습과목(반),정원,교습기간,총교습시간(분),교습비,모의고사비,재료비,급식비,기숙사비,차량비,피복비,기타경비합계,총교습비,강사수
학원,동부,대전전자통신공과학원,"대전광역시 동구 태전로  , 18 (중동, 수협)",이용학,042-257-6521,전자,전자기사/기능사 필기,30,1개월 0일,2000,350000,0,0,0,0,0,0,0,350000,2
학원,동부,대전전자통신공과학원,"대전광역시 동구 태전로  , 18 (중동, 수협)",이용학,042-257-6521,전자,전자기사/기능사 실기,30,1개월 0일,3000,450000,0,0,0,0,0,0,0,450000,2
학원,동부,대전전자통신공과학원,"대전광역시 동구 태전로  , 18 (중동, 수협)",이용학,042-257-6521,전자,통신기사/기능사,30,1개월 0일,2000,350000,0,0,0,0,0,0,0,350000,2
학원,동부,대전전자통신공과학원,"대전광역시 동구 태전로  , 18 (중동, 수협)",이용학,042-257-6521,전자,통신기사/기능사 실기,30,1개월 0일,3000,450000,0,0,0,0,0,0,0,450000,2
학원,동부,대전전자통신공과학원,"대전광역시 동구 태전로  , 18 (중동, 수협)",이용학,042-257-6521,전자,"전자,통신 기능장 실기",30,1개월 0일,3000,450000,0,0,0,0,0,0,0,450000,2
학원,동부,대학독서실,대전광역시 동구 계족로328번길 12 (성남동),황대철,042-634-6758,독서실(유아/초·중·고),1월,0,1개월 0일,0,50000,0,0,0,0,0,0,0,50000,0
학원,동부,대학독서실,대전광역시 동구 계족로328번길 12 (성남동),황대철,042-634-6758,독서실(유아/초·중·고),1일,0,0개월 1일,0,3000,0,0,0,0,0,0,0,3000,0
학원,동부,현대건설고시학원,"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,자격고시(건축사예비),30,1개월 0일,1600,250000,0,0,0,0,0,0,0,250000,4
학원,동부,현대건설고시학원,"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,자격고시(품질),230,1개월 20일,2000,150000,0,0,0,0,0,0,0,150000,4
학원,동부,현대건설고시학원,"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,건축이론,60,1개월 0일,2000,200000,0,0,0,0,0,0,0,200000,4
학원,동부,현대건설고시학원,"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,건축실기,40,1개월 0일,2100,300000,0,0,0,0,0,0,0,300000,4
학원,동부,현대건설고시학원,"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,토목이론,70,1개월 0일,2000,200000,0,0,0,0,0,0,0,200000,4
학원,동부,현대건설고시학원,"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,토목실기,40,1개월 0일,2100,300000,0,0,0,0,0,0,0,300000,4
학원,동부,현대건설고시학원,"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,조경이론,60,1개월 0일,1600,200000,0,0,0,0,0,0,0,200000,4
학원,동부,현대건설고시학원,"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,품질경영이론,20,1개월 0일,2000,200000,0,0,0,0,0,0,0,200000,4
학원,동부,현대건설고시학원,"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,품질경영실기,20,1개월 0일,2000,300000,0,0,0,0,0,0,0,300000,4
학원,동부,현대건설고시학원,"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,건축사자격,60,1개월 0일,1200,300000,0,0,0,0,0,0,0,300000,4
학원,동부,현대건설고시학원,"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,건축물에너지평가이론,60,1개월 0일,1600,320000,0,0,0,0,0,0,0,320000,4
학원,동부,현대건설고시학원,"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,건축물에너지평가실무,30,1개월 0일,1600,320000,0,0,0,0,0,0,0,320000,4
학원,동부,현대건설고시학원,"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,건축시공기술사,30,1개월 0일,800,250000,0,0,0,0,0,0,0,250000,4
학원,동부,현대건설고시학원,"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,토목시공기술사,30,1개월 0일,800,250000,0,0,0,0,0,0,0,250000,4
학원,동부,현대건설고시학원,"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,조경기사실기,60,1개월 0일,1200,300000,0,0,0,0,0,0,0,300000,4
학원,동부,현대건설고시학원,"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,조경기술사,30,1개월 0일,800,250000,0,0,0,0,0,0,0,250000,4
학원,동부,현대건설고시학원,"대전광역시 중구 중앙로 153-1 , 5,6,7층 (은행동)",홍종연,042-254-2535,성인고시,조경기능사설계,20,1개월 0일,1200,300000,0,0,0,0,0,0,0,300000,4
학원,동부,한국전기학원,"대전광역시 중구 계룡로 871 , 4층 (용두동)",정희숙,042-254-0500,전기,전기산업기사자격증 필기과정,0,3개월 0일,9000,1350000,0,0,0,0,0,0,0,1350000,14
학원,동부,한국전기학원,"대전광역시 중구 계룡로 871 , 4층 (용두동)",정희숙,042-254-0500,전기,전기산업기사자격증 실기과정,0,1개월 0일,3600,540000,0,0,0,0,0,0,0,540000,14
